	HAPLMIC5	FOOD	TREMBEN1	CYPRCOL5	CHALBRI1	CYPRCOL1	CYPRCOL4	HAPLMIC1	HAPLMIC2	HAPLMIC3	HAPLMIC4	HAPLMIC6	LOBOLAB1	LEPIPRO1	PERIMIC1	NEOLBUS1	REGACAL1	TRIGOTO1	TRIGOTO2	TRIGOTO3	TRIGOTO4	TRIGOTO5	TROPMOO1	TANGIRA1	CYPRCOL3	PLECSTA1	TRIGOTO6	CYPRCOL2	CYPRCOL6	XENOFLA1
TRIGOTO4	0.581858963339	0.882292567263	0.705752928415	0.787978199599	0.522681705317	0.627488442863	0.578608222316	0.561391933456	0.77874263209	0.563101315049	0.591113294833	0.597676884591	0.615632162716	0.665099699403	0.612477156405	0.540091822051	0.628737632565	0.534744811943	0.605707126382	0.474696134499	0.0	0.526088793815	0.645470367701	0.648259172774	0.653449463411	0.55066415264	0.527469574871	0.520373446147	0.578257778267	0.709293724861
TRIGOTO5	0.631094160439	0.900757813407	0.751917517454	0.829351271106	0.588445751738	0.711255022164	0.645246697578	0.611923429599	0.808387673476	0.595264791919	0.585817717328	0.616741408917	0.685316641736	0.713642978734	0.680058567634	0.633405113504	0.658083103703	0.646777855925	0.632266526128	0.535054480552	0.526088793815	0.0	0.621983344839	0.744846616938	0.727151246378	0.610740173384	0.551758379272	0.619577528296	0.667029269283	0.758181150215
TROPMOO1	0.67843564129	0.906997540854	0.798114310289	0.860519170838	0.648651053078	0.759411969118	0.694184271002	0.687947869144	0.813991613828	0.610249412306	0.663840423421	0.671253450601	0.638565319757	0.741558326228	0.698081806765	0.70894664452	0.708913439134	0.686463961788	0.676771150309	0.656895948924	0.645470367701	0.621983344839	0.0	0.776788387395	0.728523747918	0.631085118047	0.655307247022	0.65548366896	0.692768172599	0.715406285836
TANGIRA1	0.725152544267	0.900739198736	0.757791608791	0.816922264114	0.643356264466	0.690630810927	0.629806659506	0.727836754289	0.817065411782	0.710297793909	0.744990054885	0.739107914827	0.678318213371	0.692671446109	0.663961921152	0.615033682954	0.695513953624	0.633872300813	0.734453160385	0.663949045005	0.648259172774	0.744846616938	0.776788387395	0.0	0.680086146126	0.7004116838	0.728065775042	0.576709812285	0.561450201828	0.681458311984
CYPRCOL3	0.673650881372	0.844386588153	0.715855496626	0.763153143508	0.657091028528	0.665230562964	0.696395604459	0.694136715394	0.779688390059	0.636744245482	0.71640566939	0.67336268843	0.661601934914	0.682558043049	0.70896180773	0.636462767127	0.718174283512	0.687598153341	0.672512826395	0.717886890361	0.653449463411	0.727151246378	0.728523747918	0.680086146126	0.0	0.691071413135	0.697285300334	0.642161446188	0.647225439069	0.69315287562
PLECSTA1	0.651727460166	0.867186335937	0.704061081482	0.795184785649	0.61207493191	0.685586247968	0.621439014409	0.559600622543	0.783371486957	0.598100030681	0.608461344359	0.635882323449	0.605518234673	0.702227332343	0.577305316341	0.594855993715	0.640896648889	0.595417742516	0.619030696766	0.579275037457	0.55066415264	0.610740173384	0.631085118047	0.7004116838	0.691071413135	0.0	0.552379882728	0.562046641958	0.617205123926	0.713957177451
TRIGOTO6	0.631913513351	0.87946669897	0.707907131473	0.812023094404	0.56870426161	0.666530371711	0.620316146462	0.575103426231	0.790546999944	0.584297828679	0.5607024038	0.626019609547	0.634107319606	0.678927848261	0.612508666162	0.594844411254	0.625651469428	0.629784256935	0.63689660709	0.548527493996	0.527469574871	0.551758379272	0.655307247022	0.728065775042	0.697285300334	0.552379882728	0.0	0.580249011723	0.659766398311	0.678157295261
CYPRCOL2	0.660939595775	0.911297923755	0.743979911511	0.831203391833	0.54477601781	0.645356562101	0.466036289929	0.611938011938	0.819325372535	0.59696944157	0.644918540357	0.694583722068	0.532016768094	0.696775989852	0.601487581589	0.582366355952	0.65544967284	0.514245646143	0.692930598044	0.551812803973	0.520373446147	0.619577528296	0.65548366896	0.576709812285	0.642161446188	0.562046641958	0.580249011723	0.0	0.484391721098	0.664070042043
CYPRCOL6	0.681119637195	0.884037099566	0.75665514274	0.821795750746	0.623032941493	0.638892685129	0.538838838733	0.671362498023	0.816741688594	0.64612682049	0.69656097342	0.714215902801	0.626979611344	0.673537539992	0.62256471797	0.557218543635	0.621750075989	0.569614830564	0.706982349609	0.605391535599	0.578257778267	0.667029269283	0.692768172599	0.561450201828	0.647225439069	0.617205123926	0.659766398311	0.484391721098	0.0	0.688385702683
XENOFLA1	0.71064367752	0.873473003028	0.678935146861	0.811602429436	0.683126260015	0.713582704252	0.710038272628	0.726385998619	0.752187475251	0.686620693534	0.70724156872	0.674733228756	0.606643945088	0.701057178622	0.640615601547	0.657387936914	0.725906369637	0.699258995126	0.68647301254	0.734127592138	0.709293724861	0.758181150215	0.715406285836	0.681458311984	0.69315287562	0.713957177451	0.678157295261	0.664070042043	0.688385702683	0.0
